Exp No,folder,fish,Plan,moved,tape_name
0,3152018,Fish1-1,TRUE,TRUE,TK DRN Voltron #01
1,3152018,Fish2-1,TRUE,TRUE,TK DRN Voltron #01
2,3152018,Fish3-1,TRUE,TRUE,TK DRN Voltron #01
3,3152018,Fish4-1,TRUE,TRUE,TK DRN Voltron #01
4,3152018,Fish4-2,TRUE,TRUE,TK DRN Voltron #01
5,3292018,Fish3-1,TRUE,TRUE,TK DRN Voltron #01
6,3292018,Fish3-2,TRUE,TRUE,TK DRN Voltron #01
7,3292018,Fish4-1,TRUE,TRUE,TK DRN Voltron #01
8,3292018,Fish4-2,TRUE,TRUE,TK DRN Voltron #01
9,4052018,Fish4-1,TRUE,TRUE,TK DRN Voltron #01
10,4052018,Fish4-2,TRUE,TRUE,TK DRN Voltron #01
11,4122018,Fish1-1,TRUE,TRUE,TK DRN Voltron #01
12,4122018,Fish1-2,TRUE,TRUE,TK DRN Voltron #01
13,4122018,Fish2-1,TRUE,TRUE,TK DRN Voltron #01
14,4122018,Fish2-2,TRUE,TRUE,TK DRN Voltron #01
15,4122018,Fish3-1,TRUE,TRUE,TK DRN Voltron #01
16,4122018,Fish3-2,TRUE,TRUE,TK DRN Voltron #01
17,4122018,Fish4-1,TRUE,TRUE,TK DRN Voltron #01
18,4122018,Fish4-2,TRUE,TRUE,TK DRN Voltron #01
19,4192018,Fish1-1,TRUE,TRUE,TK DRN Voltron #01
20,4192018,Fish1-2,TRUE,TRUE,TK DRN Voltron #01
21,4192018,Fish2-1,TRUE,TRUE,TK DRN Voltron #01
22,4192018,Fish2-2,TRUE,TRUE,TK DRN Voltron #01
23,4192018,Fish3-1,TRUE,TRUE,TK DRN Voltron #01
24,4192018,Fish4-1,TRUE,TRUE,TK DRN Voltron #01
25,6282018,Fish1-1,TRUE,TRUE,TK DRN Voltron #01
26,6282018,Fish2-1,TRUE,TRUE,TK DRN Voltron #01
27,6282018,Fish2-2,TRUE,TRUE,TK DRN Voltron #01
28,7052018,Fish1-1,TRUE,TRUE,TK DRN Voltron #01
29,7052018,Fish1-2,TRUE,TRUE,TK DRN Voltron #01
30,7052018,Fish2-1,TRUE,TRUE,TK DRN Voltron #01
31,7052018,Fish2-2,TRUE,TRUE,TK DRN Voltron #01
32,7122018,Fish1-1,TRUE,TRUE,TK DRN Voltron #02
33,7122018,Fish1-2,TRUE,TRUE,TK DRN Voltron #02
34,7122018,Fish2-1,TRUE,TRUE,TK DRN Voltron #02
35,7122018,Fish2-2,TRUE,TRUE,TK DRN Voltron #02
36,7262018,Fish1-1,TRUE,TRUE,TK DRN Voltron #02
37,7262018,Fish1-2,TRUE,TRUE,TK DRN Voltron #02
38,7262018,Fish2-1,TRUE,TRUE,TK DRN Voltron #02
39,7262018,Fish2-2,TRUE,TRUE,TK DRN Voltron #02
40,7262018,Fish3-1,TRUE,TRUE,TK DRN Voltron #02
41,7262018,Fish3-2,TRUE,TRUE,TK DRN Voltron #02
42,7262018,Fish4-1,TRUE,TRUE,TK DRN Voltron #02
43,7262018,Fish4-2,TRUE,TRUE,TK DRN Voltron #02
44,8022018,Fish1-1,TRUE,TRUE,TK DRN Voltron #02
45,8022018,Fish1-2,TRUE,TRUE,TK DRN Voltron #02
